id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,accommodates,elev
6400,The Studio Milan,13822,Francesca,TIBALDI,45.44195,9.17797,Private room,100,4,12,1,358,0,1.0,True
23986,""" Characteristic Milanese flat""",95941,Jeremy,NAVIGLI,45.44991,9.17597,Entire home/apt,150,1,15,1,363,0,4.0,False
28300,nice flat near the park,121663,Marta,SARPI,45.47647,9.17359,Private room,180,1,8,1,365,0,2.0,False
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,VIALE MONZA,45.52111,9.22727,Entire home/apt,75,3,37,2,203,0,4.0,False
42732,Darsena Design district RESERVABLE FOR MAX 15 DAYS,186608,Francesco,TICINESE,45.45664,9.17662,Entire home/apt,180,2,14,1,358,0,4.0,False
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,VIALE MONZA,45.52276,9.22478,Entire home/apt,76,2,27,1,203,1,5.0,False
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,BUENOS AIRES - VENEZIA,45.48055,9.21629,Entire home/apt,145,3,2,1,365,0,3.0,False
59226,Near Piazza Gae Aulenti silent e reserved flat,244087,Francesca,GARIBALDI REPUBBLICA,45.48263,9.19674,Entire home/apt,100,2,7,1,88,0,2.0,False
65142,Very Nice Luxury Apt Central Milan,318394,Angelo,CENTRALE,45.48023,9.20181,Entire home/apt,53,20,353,1,262,0,2.0,False
76671,"Charming Attic, You Will Love It",409538,Valentina,TICINESE,45.4559,9.17545,Entire home/apt,80,3,3,1,167,1,4.0,False
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,BRERA,45.4701,9.19275,Entire home/apt,100,2,70,2,8,0,2.0,True
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,TICINESE,45.44844,9.1822,Entire home/apt,90,2,45,4,52,0,3.0,False
81202,Sunny Apartment Milan,439051,Gian Luca,ISOLA,45.48965,9.19642,Entire home/apt,95,3,10,1,364,0,2.0,False
81908,DESIGN FASHION WEEK APARTMENTT,445128,Anna,BANDE NERE,45.45364,9.14172,Entire home/apt,250,7,4,1,365,0,4.0,False
82227,Your green oasis in Milan's center.,447162,Michele,WASHINGTON,45.46389,9.16357,Entire home/apt,70,3,6,1,316,1,4.0,False
84741,Nice room with private bathroom,443989,Francesca,PARCO FORLANINI - ORTICA,45.46935,9.24505,Private room,32,2,469,2,101,11,2.0,False
