neighbourhood,availability_365,availability_365,availability_365,elev,entire_home_apt,hotel_room,minimum_nights,minimum_nights,minimum_nights,price,price,price,private_room,shared_room
,max,mean,min,sum,sum,sum,max,mean,min,max,mean,min,sum,sum
ADRIANO,365.0,194.17857142857142,9.0,3,19.0,0,30.0,3.2142857142857144,1.0,1300.0,135.0,20.0,9,0
AFFORI,365.0,204.4271844660194,1.0,17,87.0,1,365.0,19.33009708737864,1.0,1760.0,105.51456310679612,20.0,14,1
BAGGIO,365.0,199.84848484848484,11.0,3,23.0,0,181.0,8.484848484848484,1.0,131.0,50.78787878787879,18.0,10,0
BANDE NERE,365.0,225.26724137931035,2.0,32,167.0,0,365.0,6.724137931034483,1.0,500.0,84.09051724137932,10.0,57,8
BARONA,365.0,247.17857142857142,7.0,1,15.0,0,29.0,3.7142857142857144,1.0,300.0,74.03571428571429,24.0,13,0
BICOCCA,365.0,221.52941176470588,10.0,6,26.0,0,30.0,3.6176470588235294,1.0,155.0,70.6470588235294,26.0,8,0
BOVISA,365.0,187.54237288135593,1.0,12,88.0,0,180.0,4.686440677966102,1.0,500.0,81.33050847457628,15.0,26,4
BOVISASCA,351.0,243.0,87.0,1,4.0,0,30.0,7.888888888888889,1.0,130.0,55.22222222222222,15.0,5,0
BRERA,365.0,182.50304259634888,1.0,71,447.0,0,180.0,3.316430020283976,1.0,2000.0,186.91075050709938,40.0,46,0
BRUZZANO,365.0,204.66666666666666,3.0,3,16.0,0,20.0,4.592592592592593,1.0,300.0,60.51851851851852,20.0,10,1
BUENOS AIRES - VENEZIA,365.0,196.45225603357818,1.0,152,717.0,10,180.0,4.286463798530955,1.0,2000.0,116.67890870933893,17.0,209,17
CANTALUPA,364.0,186.66666666666666,19.0,0,3.0,0,5.0,2.6666666666666665,1.0,300.0,131.66666666666666,39.0,0,0
CENTRALE,365.0,208.35084033613447,1.0,72,379.0,12,300.0,5.100840336134453,1.0,880.0,114.89915966386555,17.0,84,1
CHIARAVALLE,362.0,232.66666666666666,163.0,0,3.0,0,5.0,3.0,1.0,126.0,91.0,58.0,0,0
CITTA' STUDI,365.0,187.56666666666666,2.0,42,191.0,0,365.0,8.12962962962963,1.0,1229.0,87.08148148148148,14.0,76,3
COMASINA,365.0,272.57894736842104,59.0,2,8.0,0,365.0,59.68421052631579,1.0,1000.0,138.52631578947367,21.0,10,1
CORSICA,365.0,192.95384615384614,1.0,17,98.0,0,180.0,6.084615384615384,1.0,900.0,101.96153846153847,25.0,32,0
DE ANGELI - MONTE ROSA,365.0,189.02926829268293,1.0,27,167.0,0,31.0,3.9170731707317072,1.0,511.0,107.06829268292682,17.0,37,1
DERGANO,365.0,210.29559748427673,5.0,28,121.0,0,290.0,10.132075471698114,1.0,700.0,77.85534591194968,12.0,34,4
DUOMO,365.0,185.34577114427861,1.0,109,679.0,18,365.0,4.793532338308458,1.0,2000.0,183.13930348258705,23.0,106,1
EX OM - MORIVIONE,365.0,209.86206896551724,23.0,8,43.0,0,300.0,12.241379310344827,1.0,350.0,98.36206896551724,21.0,15,0
FARINI,365.0,213.13698630136986,1.0,11,54.0,0,30.0,3.780821917808219,1.0,400.0,99.93150684931507,15.0,17,2
FIGINO,357.0,203.8,76.0,0,5.0,0,2.0,1.6,1.0,75.0,58.6,40.0,0,0
FORZE ARMATE,365.0,210.925,8.0,6,23.0,0,365.0,25.675,1.0,500.0,75.175,28.0,17,0
GALLARATESE,365.0,213.23076923076923,2.0,11,41.0,0,60.0,4.564102564102564,1.0,299.0,76.78205128205128,22.0,34,3
GARIBALDI REPUBBLICA,365.0,202.25465838509317,1.0,33,140.0,0,30.0,2.6770186335403725,1.0,1000.0,132.56521739130434,25.0,19,2
GHISOLFA,365.0,196.17834394904457,1.0,22,114.0,0,360.0,7.464968152866242,1.0,400.0,92.5732484076433,15.0,43,0
GIAMBELLINO,365.0,195.58447488584474,1.0,34,164.0,0,100.0,5.433789954337899,1.0,1800.0,120.88127853881278,14.0,51,4
GIARDINI PORTA VENEZIA,364.0,205.33333333333334,29.0,1,10.0,2,30.0,5.266666666666667,1.0,800.0,199.06666666666666,38.0,3,0
GRATOSOGLIO - TICINELLO,363.0,199.65217391304347,50.0,4,11.0,0,365.0,52.0,1.0,1000.0,116.69565217391305,17.0,12,0
GRECO,365.0,234.0842105263158,1.0,15,69.0,0,30.0,3.094736842105263,1.0,1000.0,91.57894736842105,25.0,26,0
GUASTALLA,365.0,187.7003745318352,1.0,41,222.0,3,300.0,5.074906367041199,1.0,1086.0,149.32584269662922,27.0,37,5
ISOLA,365.0,192.43400447427294,1.0,58,370.0,0,100.0,3.4496644295302015,1.0,900.0,118.58389261744966,23.0,77,0
LAMBRATE,365.0,194.67741935483872,1.0,7,42.0,0,10.0,2.096774193548387,1.0,1000.0,105.40322580645162,18.0,19,1
LODI - CORVETTO,365.0,185.0,1.0,25,142.0,2,99.0,4.305825242718447,1.0,445.0,80.3495145631068,15.0,56,6
LORENTEGGIO,365.0,184.44444444444446,16.0,7,28.0,0,29.0,3.5555555555555554,1.0,200.0,70.22222222222223,30.0,16,1
LORETO,365.0,183.33076923076922,1.0,75,382.0,8,365.0,4.867307692307692,1.0,500.0,80.74615384615385,9.0,109,21
MACIACHINI - MAGGIOLINA,365.0,191.11560693641619,5.0,18,124.0,2,60.0,2.7167630057803467,1.0,500.0,97.59537572254335,9.0,46,1
MAGENTA - S. VITTORE,365.0,198.66211604095562,2.0,40,250.0,0,356.0,6.187713310580205,1.0,1300.0,150.21843003412968,35.0,43,0
MAGGIORE - MUSOCCO,365.0,164.14583333333334,8.0,4,35.0,0,15.0,2.7083333333333335,1.0,321.0,78.83333333333333,26.0,12,1
MECENATE,365.0,226.49122807017545,21.0,2,39.0,0,29.0,2.5789473684210527,1.0,437.0,80.2280701754386,12.0,17,1
MUGGIANO,344.0,196.5,49.0,0,1.0,0,2.0,1.5,1.0,65.0,60.0,55.0,1,0
NAVIGLI,365.0,209.82412060301507,1.0,79,510.0,0,300.0,6.415410385259632,1.0,1200.0,125.34170854271356,21.0,85,2
NIGUARDA - CA' GRANDA,365.0,194.3846153846154,1.0,8,60.0,0,90.0,8.64102564102564,1.0,300.0,64.28205128205128,20.0,18,0
ORTOMERCATO,365.0,187.3913043478261,2.0,5,18.0,0,7.0,2.0,1.0,125.0,69.34782608695652,45.0,5,0
PADOVA,365.0,191.2711111111111,1.0,27,177.0,2,60.0,3.7644444444444445,1.0,1000.0,80.24888888888889,15.0,41,5
PAGANO,365.0,199.92142857142858,15.0,19,92.0,1,30.0,2.8285714285714287,1.0,732.0,140.40714285714284,35.0,44,3
PARCO AGRICOLO SUD,262.0,200.75,179.0,1,1.0,0,30.0,8.25,1.0,135.0,83.75,50.0,3,0
PARCO BOSCO IN CITT,364.0,262.6666666666667,142.0,0,2.0,0,7.0,3.3333333333333335,1.0,85.0,58.0,39.0,1,0
PARCO DEI NAVIGLI,364.0,297.5,74.0,0,6.0,0,2.0,1.3333333333333333,1.0,200.0,107.5,55.0,0,0
PARCO DELLE ABBAZIE,365.0,256.57142857142856,28.0,0,3.0,1,7.0,2.5714285714285716,1.0,90.0,56.57142857142857,40.0,3,0
PARCO FORLANINI - ORTICA,365.0,254.45833333333334,46.0,1,14.0,0,180.0,9.583333333333334,1.0,230.0,71.95833333333333,25.0,9,1
PARCO LAMBRO - CIMIANO,365.0,194.10526315789474,3.0,13,78.0,0,30.0,3.245614035087719,1.0,250.0,71.59649122807018,11.0,29,7
PARCO MONLUE' - PONTE LAMBRO,365.0,241.35,50.0,4,18.0,0,7.0,2.7,1.0,107.0,65.65,35.0,2,0
PARCO NORD,363.0,310.5,231.0,0,2.0,0,10.0,4.0,1.0,55.0,41.75,30.0,2,0
PARCO SEMPIONE,363.0,170.47619047619048,2.0,1,17.0,0,30.0,4.0,1.0,400.0,140.23809523809524,40.0,4,0
PORTA ROMANA,365.0,178.8576923076923,1.0,42,216.0,0,120.0,4.842307692307692,1.0,490.0,105.42692307692307,30.0,37,7
PORTELLO,365.0,189.70967741935485,5.0,8,57.0,0,30.0,4.354838709677419,1.0,1000.0,146.9516129032258,32.0,5,0
QT 8,365.0,213.9,1.0,4,17.0,0,30.0,6.0,1.0,350.0,77.0,26.0,13,0
QUARTO CAGNINO,364.0,271.0769230769231,36.0,3,10.0,0,14.0,3.4615384615384617,1.0,190.0,64.61538461538461,26.0,3,0
QUARTO OGGIARO,365.0,197.88235294117646,19.0,6,19.0,0,120.0,17.676470588235293,1.0,220.0,64.23529411764706,16.0,15,0
QUINTO ROMANO,365.0,244.88888888888889,32.0,3,6.0,0,15.0,3.5555555555555554,1.0,300.0,87.77777777777777,30.0,1,2
QUINTOSOLE,167.0,167.0,167.0,0,1.0,0,4.0,4.0,4.0,69.0,69.0,69.0,0,0
RIPAMONTI,365.0,178.01818181818183,1.0,4,43.0,0,200.0,6.927272727272728,1.0,250.0,75.98181818181818,20.0,12,0
ROGOREDO,364.0,224.32142857142858,20.0,3,26.0,0,28.0,3.1785714285714284,1.0,337.0,92.46428571428571,25.0,2,0
RONCHETTO SUL NAVIGLIO,365.0,188.40540540540542,11.0,9,59.0,0,91.0,12.41891891891892,1.0,500.0,76.94594594594595,16.0,15,0
S. CRISTOFORO,365.0,213.3806818181818,1.0,22,141.0,0,240.0,6.676136363636363,1.0,1000.0,110.58522727272727,20.0,34,1
S. SIRO,365.0,166.58904109589042,4.0,10,53.0,0,365.0,9.04109589041096,1.0,800.0,134.46575342465752,17.0,20,0
SACCO,365.0,306.57142857142856,239.0,1,1.0,0,30.0,5.428571428571429,1.0,500.0,192.85714285714286,70.0,6,0
SARPI,365.0,195.53460207612457,1.0,85,475.0,0,300.0,4.576124567474048,1.0,1500.0,124.32352941176471,10.0,101,2
SCALO ROMANA,365.0,209.0,5.0,13,61.0,0,120.0,8.542168674698795,1.0,943.0,95.6987951807229,15.0,21,1
SELINUNTE,365.0,210.85148514851485,7.0,10,78.0,0,29.0,3.1584158415841586,1.0,800.0,104.98019801980197,30.0,23,0
STADERA,365.0,205.30357142857142,3.0,28,119.0,0,90.0,4.541666666666667,1.0,480.0,78.22619047619048,17.0,47,2
TIBALDI,365.0,205.9020618556701,1.0,30,145.0,0,365.0,10.350515463917526,1.0,700.0,100.14948453608247,18.0,45,4
TICINESE,365.0,199.1304347826087,1.0,79,417.0,0,210.0,6.654244306418219,1.0,700.0,117.5320910973085,10.0,62,4
TORTONA,365.0,205.6231884057971,1.0,44,217.0,0,120.0,3.4855072463768115,1.0,1300.0,127.8876811594203,19.0,56,3
TRE TORRI,365.0,215.23529411764707,1.0,4,13.0,0,15.0,2.588235294117647,1.0,236.0,97.05882352941177,48.0,4,0
TRENNO,243.0,96.0,18.0,1,3.0,0,7.0,3.5,1.0,110.0,69.25,30.0,4,1
TRIULZO SUPERIORE,354.0,238.2,49.0,1,7.0,0,180.0,19.5,1.0,100.0,51.4,24.0,3,0
UMBRIA - MOLISE,365.0,196.83734939759037,1.0,27,120.0,0,300.0,5.674698795180723,1.0,600.0,93.60240963855422,22.0,39,7
VIALE MONZA,365.0,194.09756097560975,1.0,27,128.0,0,30.0,3.542682926829268,1.0,680.0,83.1219512195122,18.0,35,1
VIGENTINA,365.0,186.45762711864407,4.0,37,155.0,0,350.0,5.977401129943503,1.0,1500.0,131.68926553672316,15.0,20,2
VILLAPIZZONE,365.0,205.67410714285714,1.0,27,162.0,0,120.0,4.888392857142857,1.0,1000.0,84.41517857142857,18.0,60,2
WASHINGTON,365.0,192.434628975265,1.0,35,220.0,4,180.0,4.6643109540636045,1.0,1000.0,119.17667844522968,20.0,58,1
XXII MARZO,365.0,204.27823691460054,1.0,65,281.0,0,180.0,8.121212121212121,1.0,1000.0,129.41322314049586,12.0,81,1
