index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,accommodates,elev,entire_home_apt,hotel_room,private_room,shared_room
0,5396,Explore the heart of old Paris,7903,Borzou,Hôtel-de-Ville,48.85247,2.35835,Entire home/apt,110,2,260,1,29,35,2,False,1,0,0,0
1,7397,MARAIS - 2ROOMS APT - 2/4 PEOPLE,2626,Franck,Hôtel-de-Ville,48.85909,2.35315,Entire home/apt,100,10,278,1,257,9,4,False,1,0,0,0
2,7964,Large & sunny flat with balcony !,22155,Anaïs,Opéra,48.87417,2.34245,Entire home/apt,130,6,6,1,348,0,2,True,1,0,0,0
3,9359,"Cozy, Central Paris: WALK or VELIB EVERYWHERE !",28422,Bernadette,Louvre,48.86006,2.34863,Entire home/apt,75,180,0,1,28,0,2,False,1,0,0,0
4,9952,Paris petit coin douillet,33534,Elisabeth,Popincourt,48.86373,2.37093,Entire home/apt,80,4,31,1,198,6,2,False,1,0,0,0
5,10586,Montmartre Studio 7 (bail meublées ou mobilité),37107,Michael,Buttes-Montmartre,48.887,2.34531,Entire home/apt,80,30,48,4,254,1,2,False,1,0,0,0
6,10588,Montmartre Studio 10 (bail meublées ou mobilité),37107,Michael,Buttes-Montmartre,48.88725,2.34518,Entire home/apt,75,30,18,4,363,2,2,False,1,0,0,0
7,10917,ELYSEES-PONCELET FLAT NEAR CH. ELYS,39402,Isabelle,Batignolles-Monceau,48.879074,2.296904,Entire home/apt,143,30,25,1,72,0,4,False,1,0,0,0
8,11213,DOWNTOWN PARIS,41322,Mathieu,Entrepôt,48.87109,2.37376,Private room,170,1,151,2,163,4,6,False,0,0,1,0
9,11265,Elegant appartment in Montmartre,41718,Sylvie,Buttes-Montmartre,48.88494,2.33997,Entire home/apt,100,7,16,1,253,0,2,True,1,0,0,0
10,11487,"Heart of  Paris, brand new aparment.",42666,Brigitte,Popincourt,48.86441,2.37139,Entire home/apt,60,30,4,1,127,2,2,False,1,0,0,0
11,11798,Loft very charming in Paris,44444,Laurence,Gobelins,48.8246,2.3667,Entire home/apt,110,2,85,1,328,0,3,False,1,0,0,0
12,11848,Swishy Cosy Paris Pad,44626,Thierry,Popincourt,48.86518,2.37561,Entire home/apt,74,30,336,1,226,2,3,False,1,0,0,0
15,14264,Charming sunny 2BR in Montmartre !,55995,Lara,Buttes-Montmartre,48.88259,2.34251,Entire home/apt,90,365,11,1,181,0,2,False,1,0,0,0
16,14757,Lovely Studio Montmartre,57954,Nolwenn,Buttes-Montmartre,48.89015,2.34411,Entire home/apt,75,3,200,1,253,0,2,False,1,0,0,0
17,16455,"Spacious, Light-Filled Apartment",64054,David,Gobelins,48.83482,2.36331,Entire home/apt,70,5,31,2,4,1,5,False,1,0,0,0
18,16626,Luxury in St Michel,64627,Phoenice,Luxembourg,48.8522,2.34114,Private room,111,3,96,2,104,10,4,False,0,0,1,0
19,17287,Your Loft / One of a kind / Paris,64055,David,Buttes-Chaumont,48.89566,2.38307,Entire home/apt,63,10,11,1,362,4,5,False,1,0,0,0
21,17919,A Room in Paris 9e Pigalle,20633,Patrick,Opéra,48.88297,2.33456,Private room,65,1,126,1,222,0,1,False,0,0,1,0
22,17994,Center of paris: Louvre,69389,Reem,Louvre,48.86185,2.3434,Entire home/apt,250,2,163,1,361,1,2,True,1,0,0,0
23,19306,PARIS ROMANTIC MAISONETTE,73530,Marie,Panthéon,48.83811,2.3541,Entire home/apt,108,2,238,3,109,8,4,False,1,0,0,0
24,20176,Dominic : Charming 1BR 39m² Parisian apt in the 7th arr,76355,Prestigious,Palais-Bourbon,48.85737,2.32526,Entire home/apt,134,30,219,13,360,0,4,False,1,0,0,0
25,20823,TWO FLOORS apartment in Paris 5eme,73530,Marie,Panthéon,48.83839,2.35371,Entire home/apt,98,2,227,3,303,9,5,False,1,0,0,0
26,21004,LUXURIOUS PENTHOUSE+ 80 SQM TERRACE,79843,Nadia,Reuilly,48.84,2.40067,Entire home/apt,200,2,103,8,338,4,5,False,1,0,0,0
27,21194,LOVELY STUDIO IN QUARTIER LATIN,73530,Marie,Panthéon,48.83835,2.35398,Entire home/apt,95,1,216,3,191,10,3,False,1,0,0,0
28,21419,Charming heart of paris,81840,L,Bourse,48.8644,2.34986,Entire home/apt,59,15,83,1,123,3,2,False,1,0,0,0
29,21860,Cute Nest (2p long term) Heart Paris/Louvre/Marais,165470,Monic,Bourse,48.86544,2.34691,Entire home/apt,64,365,133,1,362,0,2,False,1,0,0,0
30,22158,Artist Loft with rooftop in the city center!,84874,Fabienne,Élysée,48.87039,2.32273,Private room,110,2,52,1,338,0,2,True,0,0,1,0
31,22979,Staying in the Heart of Paris!,89023,Lisa,Hôtel-de-Ville,48.85424,2.34975,Private room,70,3,257,1,120,1,2,True,0,0,1,0
