userId,sum_churn,churn_bin
100010,0,0
200002,5,1
125,1,1
51,24,1
124,41,1
7,0,0
54,40,1
15,28,1
155,12,1
132,19,1
154,0,0
100014,4,1
101,23,1
11,5,1
138,21,1
300017,25,1
29,19,1
69,9,1
100021,1,1
42,37,1
112,0,0
87,2,1
73,2,1
64,0,0
200010,0,0
3,3,1
30,6,1
113,16,1
34,0,0
133,0,0
59,9,1
146,0,0
139,9,1
8,0,0
28,16,1
22,0,0
300018,9,1
300012,3,1
100022,1,1
85,42,1
52,10,1
35,10,1
16,7,1
300008,2,1
71,3,1
98,25,1
300013,3,1
99,2,1
47,0,0
100008,10,1
100025,6,1
110,0,0
107,0,0
300006,2,1
300002,8,1
96,20,1
43,0,0
300007,3,1
5,0,0
100,30,1
100006,1,1
18,4,1
70,14,1
100005,1,1
27,0,0
61,10,1
75,8,1
131,15,1
126,22,1
140,50,1
17,13,1
26,0,0
100007,8,1
120,19,1
200007,0,0
46,6,1
300004,1,1
147,6,1
300001,10,1
78,0,0
300015,22,1
77,9,1
89,2,1
136,21,1
6,41,1
118,27,1
300019,0,0
200014,0,0
100009,6,1
300011,32,1
90,0,0
104,24,1
68,0,0
60,21,1
100004,10,1
200003,5,1
100015,6,1
19,2,1
300023,12,1
300024,0,0
41,23,1
128,14,1
23,5,1
200024,5,1
102,0,0
55,0,0
200008,24,1
111,6,1
100016,6,1
100003,1,1
95,15,1
93,3,1
40,2,1
38,9,1
103,14,1
200005,0,0
25,11,1
200009,5,1
135,0,0
44,1,1
156,0,0
144,0,0
100024,1,1
115,21,1
82,13,1
200023,44,1
53,14,1
92,68,1
122,1,1
117,0,0
108,2,1
300010,0,0
86,6,1
200017,5,1
58,19,1
100011,1,1
100019,1,1
300014,3,1
81,26,1
33,16,1
114,8,1
150,0,0
100012,5,1
200018,1,1
200025,11,1
200016,1,1
300003,0,0
153,15,1
200020,7,1
141,5,1
148,0,0
97,17,1
67,13,1
106,4,1
84,0,0
143,1,1
79,2,1
300025,7,1
9,32,1
24,5,1
32,3,1
116,0,0
152,8,1
88,18,1
134,0,0
200001,1,1
149,0,0
105,11,1
20,15,1
200011,11,1
200006,0,0
100023,10,1
142,22,1
100013,14,1
56,10,1
127,18,1
36,3,1
300009,8,1
10,7,1
37,13,1
300022,1,1
49,14,1
300021,17,1
200004,28,1
300005,0,0
100017,1,1
63,0,0
300020,1,1
65,20,1
4,21,1
121,5,1
39,73,1
200012,0,0
62,9,1
12,6,1
83,14,1
109,12,1
123,0,0
200022,0,0
13,8,1
200019,6,1
14,12,1
21,6,1
66,9,1
94,0,0
91,22,1
74,31,1
137,0,0
72,0,0
300016,5,1
151,0,0
200015,1,1
129,9,1
76,0,0
2,13,1
80,0,0
100018,9,1
100002,2,1
50,2,1
145,12,1
45,18,1
57,0,0
200021,27,1
119,0,0
100001,1,1
