userId,method_PUT,method_GET
100010,313,68
200002,432,42
125,9,2
51,2338,126
124,4548,277
7,168,33
54,3180,257
15,2128,150
155,931,71
132,2159,145
154,101,17
100014,294,16
101,2017,132
11,741,107
138,2320,149
300017,4183,245
29,3387,216
69,1263,79
100021,268,51
42,3972,285
112,247,45
87,871,132
73,430,27
64,59,9
200010,280,37
3,240,14
30,1591,184
113,1783,112
34,62,11
133,40,4
59,805,67
146,728,109
139,425,32
8,289,45
28,1654,127
22,34,6
300018,1916,130
300012,737,49
100022,788,176
85,4074,296
52,1245,118
35,1820,185
16,760,59
300008,1603,69
71,302,27
98,2685,206
300013,392,19
99,570,44
47,221,30
100008,870,70
100025,541,82
110,206,29
107,280,35
300006,337,42
300002,1862,99
96,2037,139
43,202,38
300007,133,10
5,188,30
100,3009,205
100006,37,7
18,483,30
70,1682,93
100005,174,42
27,249,42
61,1814,162
75,917,40
131,1756,107
126,2882,220
140,6408,472
17,1039,63
26,289,48
100007,481,39
120,1751,91
200007,69,7
46,1037,83
300004,234,28
147,618,54
300001,2040,128
78,288,36
300015,2882,169
77,1145,84
89,740,61
136,2405,162
6,3530,231
118,2681,187
300019,939,37
200014,882,100
100009,585,86
300011,5396,336
90,38,7
104,1972,160
68,40,8
60,1841,109
100004,1056,189
200003,866,111
100015,902,148
19,243,16
300023,2098,112
300024,99,3
41,2100,120
128,1941,126
23,732,50
200024,484,68
102,172,30
55,431,58
200008,1886,126
111,789,41
100016,589,49
100003,60,18
95,1917,174
93,721,94
40,1233,89
38,1476,94
103,1220,90
200005,158,16
25,2128,151
200009,1104,94
135,6,0
44,482,30
156,3,3
144,110,15
100024,28,8
115,1956,120
82,1914,135
200023,3393,376
53,1926,138
92,6690,540
122,50,12
117,384,61
108,701,63
300010,306,45
86,745,73
200017,570,50
58,1902,125
100011,15,8
100019,71,18
300014,333,28
81,2186,149
33,1432,97
114,1443,104
150,199,35
100012,526,74
200018,423,55
200025,920,106
200016,237,31
300003,31,4
153,1058,73
200020,1333,165
141,1035,67
148,450,68
97,2225,179
67,1231,91
106,959,51
84,82,15
143,116,33
79,281,40
300025,1529,74
9,2981,210
24,546,84
32,98,10
116,71,8
152,1581,101
88,2302,163
134,44,8
200001,136,22
149,215,25
105,857,61
20,2044,151
200011,759,89
200006,625,115
100023,451,43
142,2103,137
100013,1262,130
56,848,107
127,1991,134
36,1299,100
300009,1655,66
10,747,48
37,1585,97
300022,420,26
49,997,94
300021,4436,223
200004,2001,129
300005,372,22
100017,57,18
63,98,9
300020,282,14
65,2391,153
4,2301,141
121,825,91
39,8958,674
200012,74,10
62,1784,99
12,966,98
83,1376,120
109,788,73
123,173,23
200022,396,60
13,1463,191
200019,580,59
14,1357,75
21,552,37
66,1189,99
94,159,28
91,2867,147
74,2712,175
137,181,28
72,99,18
300016,692,43
151,151,12
200015,302,47
129,375,37
76,240,32
2,838,61
80,413,61
100018,1135,153
100002,207,11
50,564,87
145,1277,70
45,1653,123
57,100,12
200021,1390,112
119,193,30
100001,156,31
